module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
BMad Method,_meta,,,,,,,,,false,https://docs.bmad-method.org/llms.txt,
BMad Method,bmad-project-context,Project Context,PC,"Curate the verified project context AI agents load: a small always-loaded kernel plus a knowledge bundle. Ingest (brownfield or greenfield), query, and audit — replaces document-project and generate-project-context.",,,anytime,,,false,project_knowledge,kernel.md + context bundle
BMad Method,bmad-build,Build,BD,Official Phase 4 implementation loop: clarify intent plan implement review and present.,,,ship,bmad-sprint-planning,bmad-code-review,true,implementation_artifacts,spec and project implementation
BMad Method,bmad-spec,Spec,SPC,"Use to distill any intent input (brief, PRD, transcript, brain dump, design folder, mixed multi-source) into a succinct, no-fluff SPEC.md contract + companions that downstream work derives from. Locks the WHAT before the HOW. Works for software, game design, research, editorial, policy, business, anything intent-bearing. Validation mode also available.",,[path],anytime,,,false,{output_folder}/specs/spec-{slug},SPEC.md + companion files
BMad Method,bmad-correct-course,Correct Course,CC,Navigate significant changes. May recommend start over update PRD redo architecture sprint planning or correct epics and stories.,,,anytime,,,false,planning_artifacts,change proposal
BMad Method,bmad-brainstorming,Brainstorm Project,BP,Expert guided facilitation through a single or multiple techniques.,,,plan,,,false,{output_folder}/brainstorming,brainstorming session
BMad Method,bmad-product-brief,Create Brief,CB,An expert guided experience to nail down your product idea in a brief. a gentler approach than PRFAQ when you are already sure of your concept and nothing will sway you.,,-A,plan,,,false,planning_artifacts,product brief
BMad Method,bmad-prfaq,PRFAQ Challenge,WB,Working Backwards guided experience to forge and stress-test your product concept to ensure you have a great product that users will love and need through the PRFAQ gauntlet to determine feasibility and alignment with user needs. alternative to product brief.,,-H,plan,,,false,planning_artifacts,prfaq document
BMad Method,bmad-prd,Create Edit and Review PRD,PRD,"Facilitated PRD workflow — create a new PRD via coached discovery, update an existing one against a change signal, or validate a finished PRD against a checklist with an HTML findings report.",,,2-planning,bmad-product-brief,,true,planning_artifacts,prd
BMad Method,bmad-ux,Create UX,CU,"Guidance through realizing the plan for your UX, strongly recommended if a UI is a primary piece of the proposed project.",,,2-planning,bmad-prd,,false,planning_artifacts,ux design
BMad Method,bmad-architecture,Architecture,CA,Offer once requirements exist (a PRD or spec; plus UX if present) and the user is ready to move from what to how. Also offer any time independently-built parts risk diverging. Produces the architecture spine: the invariants that keep features epics and stories consistent. Comes before epics and stories and scales from a quick spine to a full architecture (brownfield: ratifies the existing codebase).,,,plan,,,true,planning_artifacts,architecture
BMad Method,bmad-create-epics-and-stories,Create Epics and Stories,CE,,,,plan,bmad-architecture,,true,planning_artifacts,epics and stories
BMad Method,bmad-sprint-planning,Sprint Planning,SP,Readiness gate then tracking: verifies the planning is implementable (PASS/CONCERNS/FAIL) and produces the sprint status the implementation agents follow for every story.,,,plan,,,true,implementation_artifacts,sprint status
BMad Method,bmad-sprint-planning,Sprint Status,SS,Anytime: summarize sprint status with risks open action items and the next recommended action; can also validate or repair the tracking file.,status,,anytime,,,false,,status summary
BMad Method,bmad-code-review,Code Review,CR,Ad hoc review of any code change. Optional extra layer after Build's built-in review.,,,ship,bmad-build,,false,,
BMad Method,bmad-checkpoint-preview,Checkpoint,CK,Guided walkthrough of a change from purpose and context into details. Use for human review of commits branches or PRs.,,,ship,,,false,,
BMad Method,bmad-qa-generate-e2e-tests,QA Automation Test,QA,Generate automated API and E2E tests for implemented code. NOT for code review or story validation — use CR for that.,,,ship,bmad-build,,false,implementation_artifacts,test suite
BMad Method,bmad-retrospective,Retrospective,ER,Optional at epic end: Review completed work lessons learned and next epic or if major issues consider CC.,,,ship,bmad-code-review,,false,implementation_artifacts,retrospective
BMad Method,bmad-rebase-cascade,Rebase Cascade,RC,Stacked-PR only: refresh the planning/story source stack against upstream cascading a rebase through every branch in order.,,,ship,bmad-retrospective,bmad-integration-review,false,,rebased stack
BMad Method,bmad-integration-review,Integration Review,IV,Stacked-PR only: rebuild a disposable cumulative integration branch run epic-level plus project-level acceptance tests then invoke bmad-review with its adversarial lens and ask a human to triage. If issues consider CC.,,,ship,bmad-rebase-cascade,bmad-pr-ready,false,planning_artifacts,integration review report
BMad Method,bmad-pr-ready,Prepare PR-Ready Stack,PRR,Stacked-PR only: curate minimal sanitized reviewer-facing branches from a green implementation stack without rewriting the source branches.,,,ship,bmad-integration-review,bmad-submit-prs,false,,PR-ready branch stack
BMad Method,bmad-submit-prs,Submit PR Stack,SPR,Stacked-PR only: submit a validated PR-ready stack as ordered traditional pull requests with upstream-hosted heads predecessor bases explicit merge gates stack maps and durable cross-links.,,,ship,bmad-pr-ready,bmad-extend-pr-stack,false,,submitted PR stack
BMad Method,bmad-extend-pr-stack,Extend Existing PR Stack,EPS,Stacked-PR only: fold newly prepared story PRs into an existing upstream stack recalculate layer numbering rebuild affected PR bodies with the canonical template and retire superseded draft paths.,,,ship,bmad-submit-prs,bmad-stack-working-branch,false,,extended PR stack
BMad Method,bmad-stack-working-branch,Stack Working Branch,SW,Stacked-PR only: provision or refresh the clean local anchor branch from the current cumulative stack tip so new interim work starts from the full stack instead of stale main or a review-only branch.,,,ship,bmad-extend-pr-stack,bmad-land-pr-stack,false,,stack working branch
BMad Method,bmad-land-pr-stack,Land PR Stack,LPS,Stacked-PR only: land an approved PR stack into the default branch layer by layer retargeting each successor onto the default branch before merging its predecessor refreshing the reviews that protection rules dismiss on retarget and leaving the combined validation PR permanently draft.,,,ship,bmad-stack-working-branch,,false,,landed PR stack
